dates,transect_id,longitude,latitude
2022-01-11 05:37:43+00:00,T3,266623.84502628405,580596.6994464645
2022-01-11 05:37:43+00:00,T4,266575.8716510926,580600.7388993956
2022-01-11 05:37:43+00:00,T5,266544.56142114976,580598.4538424705
2022-01-11 05:37:43+00:00,T6,266518.5653430376,580597.4866781953
2022-01-11 05:37:43+00:00,T7,266492.27310179814,580600.5998878005
2022-01-11 05:37:43+00:00,T8,266456.1503709302,580599.3898319711
2022-01-11 05:37:43+00:00,T9,266397.5261387792,580591.6169791499
2022-01-11 05:37:43+00:00,T10,266314.16374205594,580554.5354254174
2022-01-11 05:37:43+00:00,T11,266323.3489531884,580488.0697164214
2022-01-11 05:37:43+00:00,T12,266405.86634886096,580479.4028998786
2022-01-11 05:37:43+00:00,T13,266462.1400157849,580476.5624762989
2022-01-11 05:37:43+00:00,T14,266493.80345235724,580476.0106463426
2022-01-11 05:37:43+00:00,T15,266520.3109981754,580473.4147362197
2022-01-11 05:37:43+00:00,T16,266546.0610423616,580471.4831491958
2022-01-11 05:37:43+00:00,T17,266582.5891483526,580467.2491430576
2022-01-11 05:37:43+00:00,T18,266627.43375327287,580468.7584390834
2022-01-11 05:37:43+00:00,T19,266689.3593574892,580469.552504018
2022-01-16 05:37:37+00:00,T1,266750.3853447816,580505.0407528388
2022-01-16 05:37:37+00:00,T2,266702.2521677999,580569.7639923049
2022-01-16 05:37:37+00:00,T3,266622.5856854577,580587.8106197875
2022-01-16 05:37:37+00:00,T4,266576.10505783657,580592.8994455984
2022-01-16 05:37:37+00:00,T5,266544.82819341455,580592.7698021533
2022-01-16 05:37:37+00:00,T6,266518.76556427975,580591.7959320487
2022-01-16 05:37:37+00:00,T7,266492.54591723374,580591.1016366051
2022-01-16 05:37:37+00:00,T8,266456.5404583759,580589.9008838934
2022-01-16 05:37:37+00:00,T9,266399.04168139206,580583.4629562394
2022-01-16 05:37:37+00:00,T10,266321.44650521514,580549.907567914
2022-01-16 05:37:37+00:00,T11,266332.6006755553,580494.4212579671
2022-01-16 05:37:37+00:00,T12,266405.26649068436,580475.1229560993
2022-01-16 05:37:37+00:00,T13,266461.5785416842,580467.8704438417
2022-01-16 05:37:37+00:00,T14,266493.3622284461,580464.3240726063
2022-01-16 05:37:37+00:00,T15,266519.71301745257,580462.022380746
2022-01-16 05:37:37+00:00,T16,266544.8946514916,580458.8958865531
2022-01-16 05:37:37+00:00,T17,266580.0747414987,580453.7520709403
2022-01-16 05:37:37+00:00,T18,266634.3287217368,580435.458129298
2022-01-16 05:37:37+00:00,T19,266703.4153508785,580450.0389766427
2022-01-21 05:37:41+00:00,T1,266750.3856225797,580505.0405117099
2022-01-21 05:37:41+00:00,T2,266706.95360392035,580580.7321292689
2022-01-21 05:37:41+00:00,T3,266623.20430740184,580592.1770495299
2022-01-21 05:37:41+00:00,T4,266576.0400494434,580595.0828884824
2022-01-21 05:37:41+00:00,T5,266544.78187374875,580593.7567220193
2022-01-21 05:37:41+00:00,T6,266518.7524890093,580592.1675611733
2022-01-21 05:37:41+00:00,T7,266492.4952022289,580592.8673132968
2022-01-21 05:37:41+00:00,T8,266456.4679482747,580591.6647052951
2022-01-21 05:37:41+00:00,T9,266398.8791780022,580584.3372677586
2022-01-21 05:37:41+00:00,T10,266320.52921249485,580550.4904648042
2022-01-21 05:37:41+00:00,T11,266329.644004305,580492.391428327
2022-01-21 05:37:41+00:00,T12,266405.38667470095,580475.9804601801
2022-01-21 05:37:41+00:00,T13,266461.6228262336,580468.5560012701
2022-01-21 05:37:41+00:00,T14,266493.35505084065,580464.133961387
2022-01-21 05:37:41+00:00,T15,266519.7405452492,580462.5468231441
2022-01-21 05:37:41+00:00,T16,266544.761448124,580457.4584046458
2022-01-21 05:37:41+00:00,T17,266579.8154906357,580452.3604395147
2022-01-21 05:37:41+00:00,T18,266633.68542662583,580438.5650218951
2022-01-21 05:37:41+00:00,T19,266703.4583642013,580449.9792624959
2022-01-26 05:37:36+00:00,T1,266744.2341046142,580510.3800342598
2022-01-26 05:37:36+00:00,T2,266700.9737850162,580566.7816105168
2022-01-26 05:37:36+00:00,T3,266622.5161564446,580587.3198619776
2022-01-26 05:37:36+00:00,T4,266576.13371774403,580591.9368426474
2022-01-26 05:37:36+00:00,T5,266544.88720581494,580591.5124418236
2022-01-26 05:37:36+00:00,T6,266518.80978184723,580590.5391675368
2022-01-26 05:37:36+00:00,T7,266492.58311872854,580589.8064417724
2022-01-26 05:37:36+00:00,T8,266456.59372401854,580588.6051874458
2022-01-26 05:37:36+00:00,T9,266399.4903604825,580581.0489432308
2022-01-26 05:37:36+00:00,T10,266320.3506087858,580550.6039591604
2022-01-26 05:37:36+00:00,T11,266319.8152889094,580485.6437664647
2022-01-26 05:37:36+00:00,T12,266405.6629184553,580477.9514389613
2022-01-26 05:37:36+00:00,T13,266461.7088918181,580469.8883598832
2022-01-26 05:37:36+00:00,T14,266493.4469548669,580466.5681975014
2022-01-26 05:37:36+00:00,T15,266519.852945675,580464.6882058977
2022-01-26 05:37:36+00:00,T16,266544.97904113395,580459.8065886339
2022-01-26 05:37:36+00:00,T17,266580.2488500049,580454.68666713
2022-01-26 05:37:36+00:00,T18,266635.8063837203,580428.3215336677
2022-01-26 05:37:36+00:00,T19,266700.45415135904,580454.1499239295
2022-01-30 05:25:21+00:00,T1,266748.1565329784,580506.9753632796
2022-01-30 05:25:21+00:00,T2,266706.99255244073,580580.8229935698
2022-01-30 05:25:21+00:00,T3,266622.5309850934,580587.4245272799
